Fondo;Categoría;Rentabilidad Fondo;Rentabilidad Categoría
Amundi Europe Equity Value Classic;RV Cap.; 0.1522 ; 0.1879 
Lord Abbett High Yield Fund Class I;RF High Yield; 0.0803 ; 0.0964 
Vanguard EM Institutional Plus USD;RV Global Emergente; 0.0561 ; 0.0646 
AXA IM Equity Trust;RV Cap.; 0.1612 ; 0.1879 
AXA World Funds - Sustainable Europe;RV Cap.; 0.1419 ; 0.1879 
BlackRock Euro Corporate Bond Fund;RF Deuda Corporativa; 0.0883 ; 0.0772 
Robeco Euro Credit Bonds I;RF Deuda Corporativa; 0.0848 ; 0.0772 
BNP Paribas Japan Small Cap I Capitalisation;RV Asia; 0.1227 ; 0.0750 
Amundi Index MSCI Europe;RV Cap.; 0.1605 ; 0.1879 
SICAV I Asian Smaller Companies;RV Asia; 0.0878 ; 0.0750 
Pictet-EUR High Yield P;RF High Yield; 0.1227 ; 0.0964 
Schroder Emerging Markets Value A;RV Global Emergente; 0.0602 ; 0.0646 
