year;codigo_prov;nombre_prov;media;mediana;Poblacion;pib_per_capita;medicos_por_poblacion;Comunidad_autonoma;cod_ccaa;zona
2021;28;MADRID;80,238;83,693;6751251;35185;7,14;Madrid;13;3
2021;8;BARCELONA;80,56;83,918;5714730;30399;6,611;Cataluna;9;2
2021;46;VALENCIA;79,693;82,831;2589312;23717;6,496;Comunidad Valenciana;10;2
2021;41;SEVILLA;78,536;81,538;1947852;20873;5,889;Andalucia;1;4
2021;3;ALICANTE;79,195;81,927;1881762;19811;4,626;Comunidad Valenciana;10;2
2021;29;MALAGA;77,862;80,821;1695651;18150;5,508;Andalucia;1;4
2021;30;MURCIA;79,409;83,175;1518486;21547;5,431;Murcia;14;4
2021;11;CADIZ;77,771;80,654;1245960;18167;4,853;Andalucia;1;4
2021;7;BALEARES;79,229;82,396;1173008;25602;5,393;Islas Baleares;4;2
2021;48;VIZCAYA;81,672;84,826;1154334;30708;7,343;Pais Vasco;16;1
2021;35;LAS PALMAS;76,699;79,862;1128539;19545;5,508;Canarias;5;5
2021;15;LA CORUNA;81,278;84,205;1120134;24415;6,167;Galicia;12;1
2021;38;SANTA CRUZ DE TENERIFE;77,793;81,037;1044405;19902;5,758;Canarias;5;5
2021;33;ASTURIAS;81,765;84,791;1011792;23275;6,959;Asturias;3;1
2021;50;ZARAGOZA;81,322;84,407;967452;28836;7,989;Aragon;2;1
2021;36;PONTEVEDRA;81,297;84,096;944275;23286;5,093;Galicia;12;1
2021;18;GRANADA;79,027;82,471;921338;18604;6,255;Andalucia;1;4
2021;43;TARRAGONA;80,635;83,768;822309;29699;4,47;Cataluna;9;2
2021;17;GIRONA;80,635;83,902;786596;27149;4,068;Cataluna;9;2
2021;14;CORDOBA;80,39;83,51;776789;18816;5,458;Andalucia;1;4
2021;4;ALMERIA;77,406;80,907;731792;21399;3,997;Andalucia;1;4
2021;20;GUIPUZCOA;81,519;84,743;726033;32835;6,217;Pais Vasco;16;1
2021;45;TOLEDO;81,72;85,242;709403;18690;3,96;Castilla La Mancha;8;3
2021;6;BADAJOZ;80,451;83,563;669943;18991;5,69;Extremadura;11;4
2021;31;NAVARRA;81,236;84,593;661537;31016;6,822;Navarra;15;1
2021;23;JAEN;80,871;84,162;627190;18742;4,091;Andalucia;1;4
2021;12;CASTELLON DE LA PLANA;80,155;83,604;587064;27505;4,848;Comunidad Valenciana;10;2
2021;39;CANTABRIA;81,59;84,712;584507;23990;6,636;Cantabria;6;1
2021;21;HUELVA;79,011;81,995;525835;20469;4,38;Andalucia;1;4
2021;47;VALLADOLID;81,423;84,309;519361;27522;7,382;Castilla y Leon;7;3
2021;13;CIUDAD REAL;81,573;84,392;492591;21992;5,366;Castilla La Mancha;8;3
2021;24;LEON;82,694;85,898;451706;22636;5,816;Castilla y Leon;7;3
2021;25;LLEIDA;81,757;85,199;439727;28561;4,626;Cataluna;9;2
2021;10;CACERES;81,972;85,014;389558;20347;5,74;Extremadura;11;4
2021;2;ALBACETE;81,384;84,759;386464;22418;5,625;Castilla La Mancha;8;3
2021;9;BURGOS;83,134;86,638;356055;28863;5,949;Castilla y Leon;7;3
2021;1;ALAVA;80,898;84,147;333626;38786;6,208;Pais Vasco;16;1
2021;37;SALAMANCA;83,243;86,302;327338;22270;8,374;Castilla y Leon;7;3
2021;27;LUGO;83,66;86,715;326013;22684;5,313;Galicia;12;1
2021;26;LA RIOJA;82,245;85,583;319796;26954;5,729;La Rioja;17;1
2021;32;ORENSE;83,406;86,505;305223;23276;5,566;Galicia;12;1
2021;19;GUADALAJARA;82,219;85,672;265588;20719;4,582;Castilla La Mancha;8;3
2021;22;HUESCA;83,147;86,87;224264;30332;4,905;Aragon;2;1
2021;16;CUENCA;83,223;86,202;195516;23497;4,209;Castilla La Mancha;8;3
2021;49;ZAMORA;84,104;87,093;168725;21231;5,98;Castilla y Leon;7;3
2021;34;PALENCIA;82,572;85,634;159123;27047;6,134;Castilla y Leon;7;3
2021;5;AVILA;83,335;86,571;158421;20831;5,479;Castilla y Leon;7;3
2021;40;SEGOVIA;83,603;86,383;153663;22523;5,753;Castilla y Leon;7;3
2021;44;TERUEL;83,557;87,335;134545;25717;5,218;Aragon;2;1
2021;42;SORIA;83,836;87,538;88747;28526;7,155;Castilla y Leon;7;3
2021;52;MELILLA;77,427;80,975;86261;18740;3,791;Melilla;19;5
2021;51;CEUTA;74,998;78,198;83517;21135;4,215;Ceuta;18;5
2017;1;ALAVA;80,084;83,72;326574;38065;5,888;Pais Vasco;16;1
2017;10;CACERES;81,491;84,651;400036;18790;5,167;Extremadura;11;4
2017;11;CADIZ;77,383;80,55;1239435;17365;4,287;Andalucia;1;4
2017;12;CASTELLON DE LA PLANA;80,398;83,988;575470;27235;4,478;Comunidad Valenciana;10;2
2017;13;CIUDAD REAL;81,55;84,528;502578;20896;4,787;Castilla La Mancha;8;3
2017;14;CORDOBA;79,937;83,565;788219;17765;4,846;Andalucia;1;4
2017;15;LA CORUNA;80,657;84,105;1120294;23223;5,57;Galicia;12;1
2017;16;CUENCA;83,201;85,942;198718;21654;3,895;Castilla La Mancha;8;3
2017;17;GIRONA;80,648;84,301;755716;27299;3,489;Cataluna;9;2
2017;18;GRANADA;79,203;82,953;912938;17655;5,513;Andalucia;1;4
2017;19;GUADALAJARA;82,684;86,471;253310;19387;4,248;Castilla La Mancha;8;3
2017;2;ALBACETE;81,884;84,998;390032;20141;4,959;Castilla La Mancha;8;3
2017;20;GUIPUZCOA;80,998;84,467;719282;32395;5,651;Pais Vasco;16;1
2017;21;HUELVA;79,246;82,197;518930;19061;3,912;Andalucia;1;4
2017;22;HUESCA;83,191;86,261;219702;28372;4,652;Aragon;2;1
2017;23;JAEN;80,664;83,886;643484;17261;3,441;Andalucia;1;4
2017;24;LEON;82,618;85,687;468316;20432;5,251;Castilla y Leon;7;3
2017;25;LLEIDA;82,148;85,643;432384;27266;4,198;Cataluna;9;2
2017;26;LA RIOJA;81,775;85,36;315381;26556;5,225;La Rioja;17;1
2017;27;LUGO;83,297;85,919;333634;22295;4,721;Galicia;12;1
2017;28;MADRID;80,28;84,066;6507184;34216;6,727;Madrid;13;3
2017;29;MALAGA;77,491;80,792;1630615;17989;4,925;Andalucia;1;4
2017;3;ALICANTE;79,02;82,165;1825332;19044;4,245;Comunidad Valenciana;10;2
2017;30;MURCIA;79,3;83,116;1470273;20725;4,899;Murcia;14;4
2017;31;NAVARRA;81,436;85,004;643234;30468;6,335;Navarra;15;1
2017;32;ORENSE;83,684;86,16;311680;20954;5,008;Galicia;12;1
2017;33;ASTURIAS;81,472;84,679;1034960;21939;6,148;Asturias;3;1
2017;34;PALENCIA;82,708;85,982;163390;25081;5,692;Castilla y Leon;7;3
2017;35;LAS PALMAS;75,804;78,984;1100480;20237;4,888;Canarias;5;5
2017;36;PONTEVEDRA;80,591;83,715;942731;21765;4,684;Galicia;12;1
2017;37;SALAMANCA;82,564;85,698;333603;20175;7,791;Castilla y Leon;7;3
2017;38;SANTA CRUZ DE TENERIFE;77,372;80,584;1007641;20655;5,086;Canarias;5;5
2017;39;CANTABRIA;81,186;84,655;580295;22772;6,119;Cantabria;6;1
2017;4;ALMERIA;78,06;81,873;706672;21421;3,582;Andalucia;1;4
2017;40;SEGOVIA;83,307;86,532;154184;21241;5,364;Castilla y Leon;7;3
2017;41;SEVILLA;78,184;81,505;1939527;19534;5,212;Andalucia;1;4
2017;42;SORIA;84,035;86,944;88903;24639;6,749;Castilla y Leon;7;3
2017;43;TARRAGONA;80,663;84,087;791693;30263;4,282;Cataluna;9;2
2017;44;TERUEL;83,154;86,276;135562;23849;4,95;Aragon;2;1
2017;45;TOLEDO;81,536;85,337;686841;17896;3,633;Castilla La Mancha;8;3
2017;46;VALENCIA;79,538;83,068;2540707;22714;5,78;Comunidad Valenciana;10;2
2017;47;VALLADOLID;81,17;84,534;521130;26412;6,77;Castilla y Leon;7;3
2017;48;VIZCAYA;81,03;84,439;1148302;30281;6,573;Pais Vasco;16;1
2017;49;ZAMORA;83,737;86,777;177404;18571;5,175;Castilla y Leon;7;3
2017;5;AVILA;83,385;86,059;160700;19379;5,103;Castilla y Leon;7;3
2017;50;ZARAGOZA;81,395;84,692;953486;27247;7,451;Aragon;2;1
2017;51;CEUTA;72,883;77,181;84959;19532;3,861;Ceuta;18;5
2017;52;MELILLA;75,319;78,736;86120;17924;3,356;Melilla;19;5
2017;6;BADAJOZ;80,343;83,651;679884;17864;5,044;Extremadura;11;4
2017;7;BALEARES;78,626;82,166;1115999;27105;5,047;Islas Baleares;4;2
2017;8;BARCELONA;80,529;84,022;5576037;30174;6,02;Cataluna;9;2
2017;9;BURGOS;82,315;85,924;358171;28170;5,433;Castilla y Leon;7;3
2018;1;ALAVA;80,669;84,17;328868;39031;5,908;Pais Vasco;16;1
2018;10;CACERES;81,786;85,07;396487;19706;5,322;Extremadura;11;4
2018;11;CADIZ;77,407;80,477;1238714;17843;4,401;Andalucia;1;4
2018;12;CASTELLON DE LA PLANA;80,539;83,723;576898;27482;4,543;Comunidad Valenciana;10;2
2018;13;CIUDAD REAL;81,56;84,687;499100;21607;4,889;Castilla La Mancha;8;3
2018;14;CORDOBA;80,462;83,877;785240;18103;4,972;Andalucia;1;4
2018;15;LA CORUNA;80,928;84,226;1119351;24206;5,734;Galicia;12;1
2018;16;CUENCA;83,039;86,003;197222;22716;4,026;Castilla La Mancha;8;3
2018;17;GIRONA;80,646;84,43;761947;27826;3,785;Cataluna;9;2
2018;18;GRANADA;79,044;82,627;912075;18166;5,713;Andalucia;1;4
2018;19;GUADALAJARA;82,676;86,073;254308;20330;4,278;Castilla La Mancha;8;3
2018;2;ALBACETE;81,563;84,899;388786;20988;5,144;Castilla La Mancha;8;3
2018;20;GUIPUZCOA;81,136;84,471;720592;33201;5,759;Pais Vasco;16;1
2018;21;HUELVA;78,931;81,985;519932;20126;4,012;Andalucia;1;4
2018;22;HUESCA;83,081;86,476;219345;28781;4,714;Aragon;2;1
2018;23;JAEN;80,904;84,214;638099;18257;3,479;Andalucia;1;4
2018;24;LEON;82,852;85,933;463746;21201;5,382;Castilla y Leon;7;3
2018;25;LLEIDA;82,096;85,877;432866;28117;4,336;Cataluna;9;2
2018;26;LA RIOJA;82,383;85,502;315675;27511;5,392;La Rioja;17;1
2018;27;LUGO;83,182;85,912;331327;23437;4,805;Galicia;12;1
2018;28;MADRID;80,294;84,16;6578079;35135;6,832;Madrid;13;3
2018;29;MALAGA;77,642;80,811;1641121;18709;5,068;Andalucia;1;4
2018;3;ALICANTE;79,061;82,156;1838819;19473;4,323;Comunidad Valenciana;10;2
2018;30;MURCIA;79,183;82,947;1478509;21023;5,028;Murcia;14;4
2018;31;NAVARRA;81,659;85,253;647554;31051;6,447;Navarra;15;1
2018;32;ORENSE;83,301;86,087;309293;21955;5,108;Galicia;12;1
2018;33;ASTURIAS;81,589;84,802;1028244;22677;6,324;Asturias;3;1
2018;34;PALENCIA;83,01;86,089;162035;27165;5,77;Castilla y Leon;7;3
2018;35;LAS PALMAS;76,166;79,486;1109175;20858;4,997;Canarias;5;5
2018;36;PONTEVEDRA;80,974;84,063;941772;22123;4,811;Galicia;12;1
2018;37;SALAMANCA;83,245;86,486;331473;20902;8,028;Castilla y Leon;7;3
2018;38;SANTA CRUZ DE TENERIFE;77,519;80,717;1018510;21034;5,256;Canarias;5;5
2018;39;CANTABRIA;81,432;84,919;580229;23657;6,334;Cantabria;6;1
2018;4;ALMERIA;78,09;81,744;709340;21620;3,692;Andalucia;1;4
2018;40;SEGOVIA;83,851;86,96;153342;22098;5,706;Castilla y Leon;7;3
2018;41;SEVILLA;78,213;81,634;1939887;20184;5,368;Andalucia;1;4
2018;42;SORIA;83,929;87,026;88600;27866;6,727;Castilla y Leon;7;3
2018;43;TARRAGONA;80,497;84,03;795902;30281;4,184;Cataluna;9;2
2018;44;TERUEL;84,19;87,255;134572;25179;5,046;Aragon;2;1
2018;45;TOLEDO;82,151;85,535;687391;18644;3,755;Castilla La Mancha;8;3
2018;46;VALENCIA;79,621;82,969;2547986;23750;5,92;Comunidad Valenciana;10;2
2018;47;VALLADOLID;81,487;84,89;519851;27658;7,012;Castilla y Leon;7;3
2018;48;VIZCAYA;81,101;84,772;1149628;31349;6,768;Pais Vasco;16;1
2018;49;ZAMORA;83,846;86,634;174549;19480;5,374;Castilla y Leon;7;3
2018;5;AVILA;83,073;86,291;158498;20201;5,161;Castilla y Leon;7;3
2018;50;ZARAGOZA;81,373;84,744;954811;28241;7,58;Aragon;2;1
2018;51;CEUTA;73,746;78,75;85144;20253;3,923;Ceuta;18;5
2018;52;MELILLA;73,487;79,294;86384;18645;3,427;Melilla;19;5
2018;6;BADAJOZ;80,564;83,708;676376;18317;5,212;Extremadura;11;4
2018;7;BALEARES;78,664;82,105;1128908;27847;5,083;Islas Baleares;4;2
